sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKAlgorithmVersion
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 05:40:17 +0000,2025-09-11 05:41:17 +0000,ms,30.163859051784105,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 07:40:17 +0000,2025-09-11 07:41:16 +0000,ms,32.56283107375712,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 09:40:12 +0000,2025-09-11 09:41:11 +0000,ms,69.76841793724867,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 18:47:21 +0000,2025-09-11 18:48:06 +0000,ms,45.56750694854007,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 19:48:14 +0000,2025-09-11 19:48:47 +0000,ms,64.00793595442548,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 21:40:16 +0000,2025-09-11 21:41:15 +0000,ms,47.28535505673735,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-11 23:40:53 +0000,2025-09-11 23:41:51 +0000,ms,63.11677803498733,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 01:40:15 +0000,2025-09-12 01:41:15 +0000,ms,38.125666444850616,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 03:47:27 +0000,2025-09-12 03:48:26 +0000,ms,60.58704029779969,2
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f0a80>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-12 05:40:11 +0000,2025-09-12 05:41:11 +0000,ms,28.468456587416796,2
