sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,HKMetadataKeyHeartRateMotionContext
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 09:41:26 +0000,2025-09-09 09:41:26 +0000,count/min,54.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 09:49:13 +0000,2025-09-09 09:49:13 +0000,count/min,53.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 09:50:33 +0000,2025-09-09 09:50:33 +0000,count/min,53.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 09:57:28 +0000,2025-09-09 09:57:28 +0000,count/min,59.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:01:12 +0000,2025-09-09 10:01:12 +0000,count/min,58.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:02:08 +0000,2025-09-09 10:02:08 +0000,count/min,59.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:07:35 +0000,2025-09-09 10:07:35 +0000,count/min,52.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:11:01 +0000,2025-09-09 10:11:01 +0000,count/min,53.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:17:39 +0000,2025-09-09 10:17:39 +0000,count/min,55.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:22:11 +0000,2025-09-09 10:22:11 +0000,count/min,66.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:29:56 +0000,2025-09-09 10:29:56 +0000,count/min,76.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:39:10 +0000,2025-09-09 10:39:10 +0000,count/min,69.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:39:15 +0000,2025-09-09 10:39:15 +0000,count/min,69.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:39:18 +0000,2025-09-09 10:39:18 +0000,count/min,69.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:47:35 +0000,2025-09-09 10:47:35 +0000,count/min,59.0,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:51:04 +0000,2025-09-09 10:51:04 +0000,count/min,62.00000000000001,1
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 10:59:01 +0000,2025-09-09 10:59:01 +0000,count/min,91.0,0
HKQuantityTypeIdentifierHeartRate,Teja’s Apple Watch,11.6,"Watch6,15","<<HKDevice: 0x1120f02a0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,15, software:11.6, creation date:2025-08-02 13:42:36 +0000>",2025-09-09 11:02:37 +0000,2025-09-09 11:02:37 +0000,count/min,72.0,0
